# VesselPlanner Outer Planets Mod (OPM) delta-v starter table.
# Starts with the bundled Stock table and adds OPM data derived from the supplied Outer Planets delta-v map (OPM 1.8.1 artwork, based on OPM 1.7.5 values).
# OPM moves Eeloo from a solar orbit to become a moon of Sarnus, so the Stock Eeloo self row and Kerbin->Eeloo route are replaced.
# Interplanetary ejection_dV includes the stock 950 m/s Low Kerbin Orbit -> Kerbin escape/intercept leg plus the outer-planet branch value shown on the OPM map.
# total_capture_dV excludes plane-change values, matching the map convention.
# Plock shows a 1900-2700 m/s outer-transfer range; this starter table uses the lower/ideal 1900 m/s value (2850 m/s including the 950 m/s Kerbin escape leg).
# For parent->moon rows, capture_dV stores the full reverse low-moon-orbit -> low-parent-orbit value used by VesselPlanner Return From A Moon calculations.
# Tal is a subsatellite of Wal, as shown by the map topology.
Origin,Destination,dV_to_low_orbit,ejection_dV,capture_dV,transfer_to_low_orbit_dV,total_capture_dV,dV_low_orbit_to_surface,ascent_dV,plane_change_dV,parent,isMoon,order
Sun,Sun,0,0,0,0,0,0,0,0,,false,0
Moho,Moho,870,0,0,0,0,870,870,0,Sun,false,10
Eve,Eve,8000,0,0,0,0,1500,8000,0,Sun,false,20
Gilly,Gilly,30,0,0,0,0,30,30,0,Eve,true,21
Kerbin,Kerbin,3400,0,0,0,0,3400,3400,0,Sun,false,30
Mun,Mun,580,0,0,0,0,580,580,0,Kerbin,true,31
Minmus,Minmus,180,0,0,0,0,180,180,0,Kerbin,true,32
Duna,Duna,1450,0,0,0,0,1450,1450,0,Sun,false,40
Ike,Ike,390,0,0,0,0,390,390,0,Duna,true,41
Dres,Dres,430,0,0,0,0,430,430,0,Sun,false,50
Jool,Jool,0,0,0,0,0,0,0,0,Sun,false,60
Laythe,Laythe,2900,0,0,0,0,2900,2900,0,Jool,true,61
Vall,Vall,860,0,0,0,0,860,860,0,Jool,true,62
Tylo,Tylo,2270,0,0,0,0,2270,2270,0,Jool,true,63
Bop,Bop,230,0,0,0,0,230,230,0,Jool,true,64
Pol,Pol,130,0,0,0,0,130,130,0,Jool,true,65
Sarnus,Sarnus,20000,0,0,0,0,20000,20000,0,Sun,false,70
Hale,Hale,40,0,0,0,0,40,40,0,Sarnus,true,71
Ovok,Ovok,70,0,0,0,0,70,70,0,Sarnus,true,72
Eeloo,Eeloo,540,0,0,0,0,540,540,0,Sarnus,true,73
Slate,Slate,2150,0,0,0,0,2150,2150,0,Sarnus,true,74
Tekto,Tekto,2600,0,0,0,0,2600,2600,0,Sarnus,true,75
Urlum,Urlum,9000,0,0,0,0,9000,9000,0,Sun,false,80
Polta,Polta,640,0,0,0,0,640,640,0,Urlum,true,81
Priax,Priax,260,0,0,0,0,260,260,0,Urlum,true,82
Wal,Wal,1200,0,0,0,0,1200,1200,0,Urlum,true,83
Tal,Tal,100,0,0,0,0,100,100,0,Wal,true,84
Neidon,Neidon,9000,0,0,0,0,9000,9000,0,Sun,false,90
Thatmo,Thatmo,950,0,0,0,0,950,950,0,Neidon,true,91
Nissee,Nissee,850,0,0,0,0,850,850,0,Neidon,true,92
Plock,Plock,480,0,0,0,0,480,480,0,Sun,false,100
Kerbin,Mun,0,860,310,0,1170,580,580,0,Kerbin,true,31
Kerbin,Minmus,0,930,160,0,1090,180,180,0,Kerbin,true,32
Kerbin,Moho,0,1680,2410,0,4090,870,870,0,Sun,false,10
Kerbin,Eve,0,1030,1310,0,2340,1500,8000,0,Sun,false,20
Kerbin,Duna,0,1060,1450,0,2510,1450,1450,0,Sun,false,40
Kerbin,Dres,0,1290,1290,0,2580,430,430,0,Sun,false,50
Kerbin,Jool,0,1915,160,0,2075,0,0,0,Sun,false,60
Kerbin,Sarnus,0,2340,1660,1580,5580,0,0,350,Sun,false,70
Kerbin,Urlum,0,2550,1490,940,4980,0,0,100,Sun,false,80
Kerbin,Neidon,0,2650,1340,1040,5030,0,0,110,Sun,false,90
Kerbin,Plock,0,2850,900,210,3960,0,0,500,Sun,false,100
Sarnus,Hale,0,540,990,450,990,0,0,70,Sarnus,true,71
Sarnus,Ovok,0,650,1050,400,1050,0,0,100,Sarnus,true,72
Sarnus,Eeloo,0,1120,1610,490,1610,0,0,160,Sarnus,true,73
Sarnus,Slate,0,1460,2350,890,2350,0,0,155,Sarnus,true,74
Sarnus,Tekto,0,1540,1890,350,1890,0,0,630,Sarnus,true,75
Urlum,Polta,0,620,1060,440,1060,0,0,100,Urlum,true,81
Urlum,Priax,0,620,1080,460,1080,0,0,100,Urlum,true,82
Urlum,Wal,0,900,1710,810,1710,0,0,75,Urlum,true,83
Wal,Tal,0,380,530,150,530,0,0,37,Wal,true,84
Neidon,Thatmo,0,930,1380,450,1380,0,0,0,Neidon,true,91
Neidon,Nissee,0,1000,1360,360,1360,0,0,0,Neidon,true,92
